1053638
دربك	1	9.74213822829129E-4	0.5945348918918356
	100	0.00974213822829129	0.5945348918918356
وسلوفينيا	1	9.74213822829129E-4	1
وجرح	30	0.005335988865968553	0.5945348918918356
التونسيين	26	0.004967535293017552	1
لعمليات	11	0.0032311017159019923	1
وحياديا	1	9.74213822829129E-4	1
لبناتها	1	9.74213822829129E-4	1
بالعباسيه	10	0.00308073460815979	0.5945348918918356
اعقبت	9	0.0029226414684873866	1
السفريات	2	0.0013777464008962938	1
للجنه	32	0.005510985603585175	0.5945348918918356
وجزء	2	0.0013777464008962938	0.5945348918918356
المصارعه	2	0.0013777464008962938	0.5945348918918356
لتحريضه	3	0.001687387838575956	1
زعيتر	1	9.74213822829129E-4	1
كشفت	89	0.009190714823158738	0.5945348918918356
للحاق	2	0.0013777464008962938	1
بمحاوره	1	9.74213822829129E-4	1
البادئه	1	9.74213822829129E-4	1
دربت	1	9.74213822829129E-4	1
لجراحه	9	0.0029226414684873866	0.5945348918918356
سدود	1	9.74213822829129E-4	1
كشفا	2	0.0013777464008962938	0.5945348918918356
ابدت	8	0.0027554928017925876	1
استطاعت	9	0.0029226414684873866	0.5945348918918356
ابدا	47	0.0066788734762528055	0.5945348918918356
وجري	4	0.001948427645658258	0.5945348918918356
وجزر	1	9.74213822829129E-4	1
بلاشك	1	9.74213822829129E-4	1
بغارات	4	0.001948427645658258	1
نتفادي	1	9.74213822829129E-4	1
رئاسته	3	0.001687387838575956	0.5945348918918356
وحياديه	2	0.0013777464008962938	1
الدكتوراه	11	0.0032311017159019923	0.5945348918918356
والمسلمون	3	0.001687387838575956	1
هيعوضني	1	9.74213822829129E-4	1
تفجيريه	5	0.002178408332465869	1
تفجيرين	2	0.0013777464008962938	1
الاكتمال	1	9.74213822829129E-4	1
لتخطي	4	0.001948427645658258	1
للوقفه	1	9.74213822829129E-4	1
دراس	1	9.74213822829129E-4	0.5945348918918356
لحديثه	1	9.74213822829129E-4	1
سيرسخ	1	9.74213822829129E-4	1
ينحشر	1	9.74213822829129E-4	1
التونسيون	8	0.0027554928017925876	1
باسرار	1	9.74213822829129E-4	0.5945348918918356
دراج	14	0.00364517434648589	1
كشفه	5	0.002178408332465869	0.5945348918918356
تشيكلات	1	9.74213822829129E-4	1
السعديات	1	9.74213822829129E-4	1
سيردع	1	9.74213822829129E-4	1
القصباء	2	0.0013777464008962938	1
سدنه	1	9.74213822829129E-4	1
الروضان	1	9.74213822829129E-4	1
باستعمال	4	0.001948427645658258	0.5945348918918356
وجسر	4	0.001948427645658258	1
مكاوي	2	0.0013777464008962938	1
لبارتيل	2	0.0013777464008962938	1
لاستقبال	32	0.005510985603585175	0.5945348918918356
بالتخيير	1	9.74213822829129E-4	1
ببرونزيه	5	0.002178408332465869	1
الاسكوديتو	1	9.74213822829129E-4	0.5945348918918356
مصلحته	7	0.002577527499007415	0.5945348918918356
مكتبته	1	9.74213822829129E-4	1
مسيرتنا	1	9.74213822829129E-4	1
بمحاكم	24	0.004772653532595079	1
ابحث	4	0.001948427645658258	0.5945348918918356
وتوقفها	1	9.74213822829129E-4	1
سيواجه	11	0.0032311017159019923	0.5945348918918356
اثرانتقادات	1	9.74213822829129E-4	1
بالطالبيه	3	0.001687387838575956	1
طرحهما	1	9.74213822829129E-4	1
لبناتنا	1	9.74213822829129E-4	0.5945348918918356
منطقهبالارض	1	9.74213822829129E-4	1
الاكاديميين	2	0.0013777464008962938	0.5945348918918356
بلازا	1	9.74213822829129E-4	1
حسابان	1	9.74213822829129E-4	1
درجه	115	0.01044727935148691	0.5945348918918356
محجبتين	1	9.74213822829129E-4	1
بلاغا	18	0.004133239202688881	0.5945348918918356
وشخصيه	1	9.74213822829129E-4	1
قابيل	7	0.002577527499007415	0.5945348918918356
للجيل	3	0.001687387838575956	1
تخدير	2	0.0013777464008962938	0.5945348918918356
والداعمه	3	0.001687387838575956	1
تفجيرها	1	9.74213822829129E-4	1
للجيش	149	0.011891795209980302	0.5945348918918356
اجسامهم	5	0.002178408332465869	0.5945348918918356
ابرع	1	9.74213822829129E-4	0.5945348918918356
اجسامهن	1	9.74213822829129E-4	1
سيرضي	3	0.001687387838575956	1
مجالها	4	0.001948427645658258	1
بلاعب	1	9.74213822829129E-4	1
ديلاوير	3	0.001687387838575956	1
بالعملتين	1	9.74213822829129E-4	1
ابرز	131	0.011150386854699986	0.5945348918918356
وتسعين	1	9.74213822829129E-4	0.5945348918918356
بوتقه	1	9.74213822829129E-4	1
بقراره	2	0.0013777464008962938	1
مودتنا	1	9.74213822829129E-4	1
الطائفيه	22	0.004569467868035576	0.5945348918918356
عيترون	1	9.74213822829129E-4	1
ابره	1	9.74213822829129E-4	0.5945348918918356
مقاتلتين	5	0.002178408332465869	1
ابرم	2	0.0013777464008962938	0.5945348918918356
ذكرياتهم	1	9.74213822829129E-4	0.5945348918918356
ابرك	1	9.74213822829129E-4	0.5945348918918356
فاتسلاف	1	9.74213822829129E-4	1
حازمون	22	0.004569467868035576	0.5945348918918356
سيرسل	2	0.0013777464008962938	1
تراشقا	1	9.74213822829129E-4	1
والمطلقات	3	0.001687387838575956	0.5945348918918356
والانسياق	1	9.74213822829129E-4	1
سديد	1	9.74213822829129E-4	1
لاصفر	1	9.74213822829129E-4	1
ابرء	1	9.74213822829129E-4	1
وسفيرا	1	9.74213822829129E-4	1
مكتبات	3	0.001687387838575956	1
ابرئ	1	9.74213822829129E-4	1
ابرا	8	0.0027554928017925876	1
بالمشاعر	1	9.74213822829129E-4	0.5945348918918356
